order_id,date,category,region,channel,customer_segment,price,quantity,discount_pct,revenue,profit,customer_id
ORD-10000,2022-08-17,Clothing,West,In-Store,Premium,34.53,1,5,32.8,6.19,CUST-2828
ORD-10001,2022-02-21,Clothing,Central,Online,Budget,67.03,1,0,67.03,16.15,CUST-2572
ORD-10002,2023-07-18,Books,West,Mobile App,Premium,18.37,1,5,17.45,3.06,CUST-1769
ORD-10003,2023-05-17,Sports,East,In-Store,Standard,318.4,3,0,955.2,221.27,CUST-1875
ORD-10004,2023-04-03,Electronics,North,Online,Budget,639.88,5,5,3039.43,997.36,CUST-2857
ORD-10005,2022-10-13,Sports,East,Online,Standard,138.4,1,5,131.48,17.33,CUST-1257
ORD-10006,2022-07-29,Electronics,North,In-Store,Budget,573.09,1,10,515.78,164.39,CUST-1219
ORD-10007,2022-06-28,Home & Garden,Central,Mobile App,Budget,176.74,1,0,176.74,38.95,CUST-2514
ORD-10008,2024-05-14,Clothing,South,In-Store,Budget,149.05,2,5,283.19,68.11,CUST-1636
ORD-10009,2022-03-07,Beauty,South,Mobile App,Premium,110.68,4,10,398.45,101.97,CUST-2064
ORD-10010,2022-03-03,Sports,North,In-Store,Standard,61.32,1,5,58.25,17.95,CUST-1990
ORD-10011,2022-07-11,Beauty,Central,Online,Standard,147.58,3,10,398.47,94.31,CUST-1299
ORD-10012,2023-03-24,Electronics,Central,Online,Standard,818.01,1,10,736.21,194.63,CUST-1983
ORD-10013,2023-04-22,Beauty,North,In-Store,Standard,50.61,2,20,80.98,18.08,CUST-2666
ORD-10014,2024-10-31,Sports,Central,In-Store,Premium,,1,5,175.09,42.21,CUST-2859
ORD-10015,2022-02-24,Clothing,East,Mobile App,Budget,183.27,5,5,870.53,244.42,CUST-1431
ORD-10016,2023-02-12,Home & Garden,Central,In-Store,Standard,184.18,2,0,368.36,42.62,CUST-2464
ORD-10017,2024-05-09,Beauty,West,In-Store,Standard,130.21,1,10,117.19,31.01,CUST-2240
ORD-10018,2023-03-28,Electronics,East,Mobile App,Budget,841.92,2,15,1431.26,420.58,CUST-1712
ORD-10019,2024-07-08,Clothing,North,In-Store,Budget,125.21,3,0,375.63,40.34,CUST-1975
ORD-10020,2023-07-24,Beauty,South,Mobile App,Standard,55.31,1,10,49.78,16.39,CUST-2547
ORD-10021,2022-01-14,Sports,West,In-Store,Budget,389.99,4,0,1559.96,253.68,CUST-2292
ORD-10022,2022-11-23,Clothing,Central,Mobile App,Premium,171.32,4,0,685.28,188.23,CUST-1400
ORD-10023,2024-05-15,Sports,South,Online,Budget,119.69,1,0,119.69,17.99,CUST-1049
ORD-10024,2023-11-28,Home & Garden,West,Mobile App,Budget,320.12,2,0,640.24,193.67,CUST-2770
ORD-10025,2023-07-24,Beauty,South,Mobile App,Standard,20.08,1,10,18.07,5.92,CUST-2025
ORD-10026,2022-11-15,Electronics,West,Online,Budget,519.71,2,5,987.45,132.78,CUST-1160
ORD-10027,2023-03-17,Clothing,North,Online,Standard,42.89,2,0,85.78,19.27,CUST-2888
ORD-10028,2023-11-21,Sports,Central,Mobile App,Premium,335.56,1,0,335.56,106.75,CUST-2747
ORD-10029,2022-07-29,Home & Garden,Central,In-Store,Standard,266.11,2,0,532.22,135.54,CUST-2337
ORD-10030,2022-07-09,Home & Garden,Central,Mobile App,Standard,29.54,1,0,29.54,5.42,CUST-2892
ORD-10031,2024-02-18,Electronics,Central,Mobile App,Premium,945.21,4,0,3780.84,844.6,CUST-1708
ORD-10032,2022-07-18,Home & Garden,South,In-Store,Budget,490.81,4,5,1865.08,472.07,CUST-1085
ORD-10033,2024-01-06,Home & Garden,South,Online,Premium,65.47,1,0,65.47,12.28,CUST-1053
ORD-10034,2023-12-06,Sports,Central,In-Store,Premium,315.1,3,5,898.03,282.95,CUST-1792
ORD-10035,2023-06-26,Clothing,Central,In-Store,Standard,157.82,2,5,299.86,61.98,CUST-1396
ORD-10036,2022-03-30,Beauty,Central,Mobile App,Premium,,4,0,232.16,28.56,CUST-2642
ORD-10037,2024-07-29,Sports,North,In-Store,Standard,30.59,2,10,55.06,6.56,CUST-2233
ORD-10038,2022-09-13,Books,North,Online,Standard,42.07,1,0,42.07,10.58,CUST-2921
ORD-10039,2024-02-15,Sports,East,In-Store,Budget,228.87,1,10,205.98,38.98,CUST-1599
ORD-10040,2022-06-11,Beauty,East,In-Store,Budget,131.66,1,15,111.91,20.11,CUST-2946
ORD-10041,2023-08-24,Beauty,Central,Online,Premium,97.06,1,0,97.06,13.03,CUST-1762
ORD-10042,2024-01-11,Books,North,Online,Standard,45.7,3,0,137.1,21.77,CUST-2712
ORD-10043,2023-01-29,Electronics,Central,In-Store,Standard,185.44,1,0,185.44,56.89,CUST-1038
ORD-10044,2022-05-23,Sports,North,Mobile App,Standard,348.54,1,0,348.54,52.78,CUST-1064
ORD-10045,2022-04-04,Clothing,East,Mobile App,Premium,117.48,1,0,117.48,29.63,CUST-2550
ORD-10046,2023-04-12,Electronics,North,Online,Budget,178.71,2,5,339.55,107.45,CUST-1794
ORD-10047,2023-08-16,Beauty,Central,Mobile App,Standard,143.35,4,0,573.4,199.38,CUST-1332
ORD-10048,2022-06-13,Sports,East,Online,Premium,385.11,1,20,308.09,49.16,CUST-2579
ORD-10049,2023-04-22,Electronics,Central,Online,Premium,719.94,1,0,719.94,182.78,CUST-1628
ORD-10050,2022-07-26,Home & Garden,West,Online,Standard,290.69,1,0,290.69,42.06,CUST-1983
ORD-10051,2024-02-18,Beauty,Central,In-Store,Premium,99.28,2,5,188.63,46.19,CUST-1902
ORD-10052,2023-07-24,Sports,South,Mobile App,Budget,92.43,3,0,277.29,87.97,CUST-1101
ORD-10053,2024-07-17,Sports,Central,Mobile App,Premium,112.25,2,0,224.5,50.89,CUST-1124
ORD-10054,2024-01-18,Clothing,Central,Mobile App,Premium,191.31,5,20,765.24,79.61,CUST-2229
ORD-10055,2022-11-30,Clothing,Central,In-Store,Budget,62.25,1,5,59.14,7.59,CUST-1851
ORD-10056,2024-01-29,Electronics,West,Mobile App,Standard,224.96,1,0,224.96,23.88,CUST-1963
ORD-10057,2023-12-29,Beauty,Central,Online,Premium,141.95,1,0,141.95,27.27,CUST-2247
ORD-10058,2023-03-06,Beauty,South,In-Store,Budget,39.61,1,10,35.65,10.18,CUST-1066
ORD-10059,2023-07-01,Clothing,South,Mobile App,Budget,138.27,1,10,124.44,32.64,CUST-2176
ORD-10060,2022-05-27,Sports,Central,In-Store,Budget,261.37,2,5,496.6,64.71,CUST-2074
ORD-10061,2022-12-17,Clothing,East,Online,Standard,113.66,1,0,113.66,27.71,CUST-1644
ORD-10062,2024-12-29,Electronics,East,Mobile App,Budget,935.6,1,0,935.6,264.96,CUST-1156
ORD-10063,2023-05-17,Sports,South,Mobile App,Premium,367.99,2,5,699.18,148.4,CUST-2590
ORD-10064,2022-12-01,Books,North,Online,Standard,55.28,2,10,99.5,25.01,CUST-1862
ORD-10065,2024-08-04,Beauty,West,Online,Premium,80.7,1,5,76.66,24.56,CUST-1247
ORD-10066,2024-02-17,Clothing,West,Online,Budget,95.35,3,10,257.44,55.98,CUST-1341
ORD-10067,2023-07-07,Books,West,Mobile App,Budget,59.48,1,15,50.56,16.67,CUST-1494
ORD-10068,2023-03-26,Sports,North,Online,Budget,291.99,1,15,248.19,80.56,CUST-2885
ORD-10069,2023-10-27,Electronics,West,Mobile App,Premium,522.71,1,5,496.57,105.49,CUST-2502
ORD-10070,2022-04-25,Beauty,Central,Mobile App,Standard,35.68,3,15,90.98,30.4,CUST-2380
ORD-10071,2023-04-15,Beauty,North,Online,Standard,100.92,1,5,95.87,21.78,CUST-2010
ORD-10072,2022-03-07,Electronics,East,In-Store,Standard,508.17,2,15,863.89,211.62,CUST-2550
ORD-10073,2023-10-09,Beauty,Central,In-Store,Budget,34.98,1,10,31.48,8.93,CUST-2801
ORD-10074,2024-04-01,Beauty,South,In-Store,Standard,96.17,1,0,96.17,12.47,CUST-2241
ORD-10075,2023-07-03,Clothing,South,Online,Budget,155.62,4,10,560.23,75.77,CUST-2848
ORD-10076,2022-05-16,Sports,East,Online,Standard,39.9,4,5,151.62,22.56,CUST-2928
ORD-10077,2023-03-09,Beauty,North,In-Store,Standard,142.7,1,5,135.56,17.83,CUST-2010
ORD-10078,2023-10-07,Electronics,North,Mobile App,Premium,426.21,3,20,1022.9,289.39,CUST-2489
ORD-10079,2023-03-12,Clothing,North,Mobile App,Budget,33.38,1,0,33.38,7.12,CUST-1644
ORD-10080,2024-10-19,Beauty,Central,Mobile App,Budget,134.92,1,0,134.92,37.28,CUST-1072
ORD-10081,2024-03-21,Books,South,In-Store,Standard,57.36,2,0,114.72,28.29,CUST-1310
ORD-10082,2024-07-28,Books,Central,Mobile App,Budget,33.19,1,5,31.53,4.19,CUST-1438
ORD-10083,2022-10-20,Beauty,East,Mobile App,Standard,10.45,1,5,9.93,1.51,CUST-2292
ORD-10084,2023-06-27,Home & Garden,South,In-Store,Budget,298.19,2,5,566.56,149.71,CUST-1993
ORD-10085,2022-10-13,Home & Garden,East,In-Store,Standard,252.76,2,5,480.24,113.27,CUST-1666
ORD-10086,2023-05-21,Home & Garden,West,Mobile App,Premium,134.99,1,0,134.99,45.77,CUST-2584
